query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time_not_right,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time,start_date_chinese,start_time_chinese
用户:下午2点多参加评审会,`2025-07-01 14:13:12,日程,会议,参加评审会,,,是,0,`2025-07-01 14:30:00,,,否,,,,,下午2点多
用户:2点多参加讨论会,`2025-07-01 14:13:12,日程,会议,参加讨论会,,,是,0,`2025-07-01 14:30:00,,,否,,,,,2点多
用户:下午2点多参加评审会,`2025-07-01 15:13:12,日程,会议,参加评审会,,,是,0,`2025-07-02 14:00:00,,,否,,,,,下午2点多
用户:2点多参加讨论会,`2025-07-01 15:13:12,日程,会议,参加讨论会,,,是,0,`2025-07-02 02:00:00,,,否,,,,,2点多
用户:下午2点左右参加分享会,`2025-07-02 14:13:12,日程,会议,参加分享会,,,是,0,`2025-07-02 14:30:00,,,否,,,,,下午2点左右
用户:2点左右参加项目启动会,`2025-07-02 14:13:12,日程,会议,参加项目启动会,,,是,0,`2025-07-02 14:30:00,,,否,,,,,2点左右
用户:下午2点左右参加方案评审会,`2025-07-02 15:13:12,日程,会议,参加方案评审会,,,是,0,`2025-07-03 14:00:00,,,否,,,,,下午2点左右
用户:2点左右参加技术讨论会,`2025-07-02 15:13:12,日程,会议,参加技术讨论会,,,是,0,`2025-07-03 02:00:00,,,否,,,,,2点左右
用户:下午2点左右参加分享会,`2025-07-02 13:52:12,日程,会议,参加分享会,,,是,0,`2025-07-02 14:00:00,,,否,,,,,下午2点左右
用户:2点左右参加项目启动会,`2025-07-02 13:52:12,日程,会议,参加项目启动会,,,是,0,`2025-07-02 14:00:00,,,否,,,,,2点左右
用户:晚上8点多参加评审会,`2025-07-01 20:07:12,日程,会议,参加评审会,,,是,0,`2025-07-01 20:30:00,,,否,,,,,晚上8点多
用户:8点多参加讨论会,`2025-07-01 20:07:12,日程,会议,参加讨论会,,,是,0,`2025-07-01 20:30:00,,,否,,,,,8点多
用户:晚上8点多参加评审会,`2025-07-01 21:07:12,日程,会议,参加评审会,,,是,0,`2025-07-02 20:00:00,,,否,,,,,晚上8点多
