query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time,start_time_chinese,end_time_chinese,remind_time_chinese
用户:下周一下午3点有个展会，记录一下; 你:下周一下午3点到5点已经约好去健身了。展会要换个时间吗？; 用户:改到周一15点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,展会,展会,,,`2025-06-30 15:00:00,`2025-06-30 17:00:00,`2025-06-30 14:30:00,否,,,,下周一下午3点,下周一下午5点,下周一下午2点半
用户:下周二9点有个应酬，帮我记一下; 你:下周二9点到11点已经有健身安排了。应酬要换个时间吗？; 用户:改到周二9点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,应酬,应酬,,,`2025-07-01 09:00:00,`2025-07-01 11:00:00,`2025-07-01 08:45:00,否,,,,下周二9点,下周二11点,下周二8点45分
用户:下周三晚上7点有个客户会议，帮我记一下; 你:下周三晚上7点到8点已经有健身课程了。客户会议要换个时间吗？; 用户:改到周三19点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,会议,客户会议,,客户,`2025-07-02 19:00:00,`2025-07-02 21:00:00,`2025-07-02 16:00:00,否,,,,下周三19点,下周三21点,下周三16点
用户:下周五晚上7点有个应酬，帮我记一下; 你:下周五晚上7点到8点已经安排健身了。应酬要换个时间吗？; 用户:改到周五19点; 你:好的，会持续多久啊？; 用户:大概1小时吧; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,应酬,应酬,,,`2025-06-27 19:00:00,`2025-06-27 20:00:00,`2025-06-27 18:00:00,否,,,,周五19点,周五20点,周五18点
用户:下周六下午4点想去健身，帮我记一下; 你:下周六下午4点到6点已经安排购物了。健身要换个时间吗？; 用户:改到周六16点吧; 你:好的，大概要练多久啊？; 用户:大概2小时吧; 你:提前15分钟提醒你，可以吗？; 用户:ok,`2025-06-27 04:00:31,日程,运动,健身,,,`2025-07-05 16:00:00,`2025-07-05 18:00:00,`2025-07-05 15:45:00,否,,,,下周六下午4点,下周六下午6点,下周六下午3点45分
用户:下周日13点有个医生预约，记录一下; 你:下周日13点到14点已经有健身课程了。医生预约要换个时间吗？; 用户:改到周日13点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,就医,医生预约,,,`2025-07-06 13:00:00,`2025-07-06 14:00:00,`2025-07-06 12:30:00,否,,,,下周日13点,下周日14点,下周日12点30分
用户:下周天晚上8点有个读书会，帮我记一下; 你:下周天晚上8点到9点已经有健身课了。读书会要换个时间吗？; 用户:改到周天20点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-27 04:00:31,日程,读书,读书会,,,`2025-07-06 13:00:00,`2025-07-06 14:00:00,`2025-07-06 12:30:00,否,,,,下周日13点,下周日14点,下周日12点30分
用户:下周一晚上8点有个应酬，帮我记下; 你:下周一晚上8点到9点已经有健身计划了。应酬要换个时间吗？; 用户:改到周一20点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-29 02:05:38,日程,应酬,应酬,,,`2025-06-30 20:00:00,`2025-06-30 21:00:00,`2025-06-30 19:00:00,否,,,,下周一20点,下周一21点,下周一19点
用户:下周二下午3点有个展会要参加; 你:下周二下午3点到4点已经安排体检了。展会要换个时间吗？; 用户:改到周二15点; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前15分钟叫你，成不？; 用户:ok,`2025-06-29 02:05:38,日程,展会,参加展会,,,`2025-07-01 15:00:00,`2025-07-01 17:00:00,`2025-07-01 14:45:00,否,,,,下周二下午3点,下周二下午5点,下周二下午2点45分
用户:下周三晚上8点有个工作会议，帮我记一下; 你:下周三晚上8点到9点这会儿已经在健身训练了。工作会议要不要换个时间？; 用户:改到周三20点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。; 你:提前2小时叫你，行吗？; 用户:可以,`2025-06-29 02:05:38,日程,会议,工作会议,,,`2025-07-02 20:00:00,`2025-07-02 21:00:00,`2025-07-02 18:00:00,否,,,,下周三晚上8点,下周三晚上9点,下周三下午6点
用户:下周四16点有个健身课，记一下; 你:下周四16点到17点已经安排了看牙医。健身课要改个时间吗？; 用户:改到周四16点。; 你:好的，要上多久啊？; 用户:大概1小时吧。; 你:提前半小时叫你，可以吗？; 用户:ok,`2025-06-29 02:05:38,日程,运动,健身课,,,`2025-07-03 16:00:00,`2025-07-03 17:00:00,`2025-07-03 15:30:00,否,,,,下周四16点,下周四17点,下周四15点30分
用户:下周五8点有个展会要去; 你:下周五8点到9点已经安排健身了。展会要换个时间吗？; 用户:改到周五8点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前半小时叫你，成不？; 用户:ok,`2025-06-29 02:05:38,日程,展会,展会,,,`2025-07-04 08:00:00,`2025-07-04 10:00:00,`2025-07-04 07:30:00,否,,,,下周五8点,下周五10点,下周五7点半
用户:下周天下午四点要去看牙医; 你:下周天下午四点到六点已经安排健身了。看牙医要换个时间吗？; 用户:改到周天下午四点; 你:好的，会持续多久啊？; 用户:大概两小时吧; 你:提前两小时叫你，成不？; 用户:ok,`2025-06-29 02:05:38,日程,就医,看牙医,,,`2025-07-06 16:00:00,`2025-07-06 18:00:00,`2025-07-06 14:00:00,否,,,,下周天下午4点,下周天下午6点,下周天下午2点
