query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time_not_right,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time,start_date_chinese,start_time_chinese,end_date_chinese,end_time_chinese,remind_date_chinese,remind_time_chinese
用户:帮我记下周六同学聚会; 你:好嘞，啥时候开始？多久啊？; 用户:下午三点开始，大概两小时; 你:周六下午3点到下午5点已经有同学聚餐了。同学聚会要换个时间吗？; 用户:那把聚会改到周日下午4点开始吧,`2025-06-28 22:54:01,日程,约见,同学聚会,,同学,是,0,`2025-06-29 16:00:00,`2025-06-29 18:00:00,,否,,,,本周日,下午4点,本周日,下午6点,,
用户:提醒我明天取干洗衣物; 你:好嘞，几点提醒你？; 用户:七点提醒我，谢谢。;,`2025-06-29 09:42:52,待办,购物,取干洗衣物,,,是,0,`2025-06-30 07:00:00,,`2025-06-30 07:00:00,否,,,,明天,早上7点,,,明天,早上7点
用户:下周六全天家具采购,`2025-06-30 19:51:58,日程,购物,家具采购,,,是,0,`2025-07-12 08:00:00,`2025-07-12 20:00:00,,否,,,,下周六,全天,下周六,20点,,
用户:下周六全天美容; 你:提前一天晚上8点提醒你，好吗？; 用户:好的,`2025-06-30 19:51:58,日程,美容,美容,,,是,0,`2025-07-12 08:00:00,`2025-07-12 20:00:00,`2025-07-11 20:00:00,否,,,,下周六,上午8点,下周六,晚上8点,提前一天,晚上8点
用户:下周六全天家长会; 你:提前一天晚上8点提醒你，好吗？; 用户:不用提醒这么早，当天提醒我就行,`2025-06-30 19:51:58,日程,会议,家长会,,,是,0,`2025-07-12 08:00:00,`2025-07-12 20:00:00,`2025-07-12 12:00:00,否,,,,下周六,上午8点,下周六,晚上8点,下周六,中午12点
用户:周四早上7点晨跑; 你:是周四早上七点提醒你吗？; 用户:麻烦你把时间调整为周四早上七点十五分。,`2025-06-29 08:32:21,日程,运动,晨跑,,,是,0,`2025-07-03 07:15:00,,`2025-07-03 07:15:00,否,,,,周四,早上7点十五分,,,周四,早上7点十五分
用户:下周一全天在家带娃; 你:周一下午4点到晚上8点，还有健身房私教课，带运动服，可能比较赶，在家带娃要换个时间吗？; 用户:私教课能不能改到周二？我想专心带娃周一整天。; 你:没问题，提前多久提醒你？; 用户:30分钟,`2025-06-24 08:57:27,日程,家庭,在家带娃,,,是,0,`2025-06-30 08:00:00,`2025-06-30 20:00:00,`2025-06-30 07:30:00,否,,,,周一,全天,周一,全天,周一,提前30分钟
用户:明天晚上8点线上课程; 你:明天晚上8点半到晚上9点，还有线上课程，可能比较赶，线上课程要换个时间吗？; 用户:明天晚上8点开始上课，可以稍微延后一点结束时间。; 你:好嘞，啥时候提醒你？; 用户:明天晚上7点50提醒我。,`2025-06-24 08:06:38,日程,学习,线上课程,,,是,0,`2025-06-25 20:00:00,`2025-06-25 21:00:00,`2025-06-25 19:50:00,否,,,,明天,晚上8点,明天,晚上9点,明天,晚上7点50
用户:下周日全天装修监工; 你:下周日下午5点半到晚上8点，还有志愿者服务，可能比较赶，装修监工要换个时间吗？; 用户:这个时间确实有点赶，要不把志愿者服务请假一下吧;  你:提前一天晚上8点提醒你，好吗？; 用户:好的,`2025-06-28 15:59:06,日程,工作,装修监工,,,是,0,`2025-07-06 08:00:00,`2025-07-06 20:00:00,`2025-07-05 20:00:00,否,,,,下周日,上午8点,下周日,晚上8点,提前一天,晚上8点
用户:下周四下午5点接机; 你：什么时间提醒你？; 用户:上午十点提醒吧,`2025-06-30 22:37:09,日程,出行,接机,,,是,0,`2025-07-10 17:00:00,,`2025-07-10 10:00:00,否,,,,下周四,下午5点,,,下周四,上午10点
用户:下周五晚上6点部门庆功宴; 你:下周五下午6点到晚上7点，有3个日程，部门庆功宴要换个时间吗？; 用户:不改; 你:没问题，提前多久提醒你？; 用户:30分钟,`2025-06-26 02:48:48,日程,应酬,部门庆功宴,,,是,0,`2025-07-04 18:00:00,,`2025-07-04 17:30:00,否,,,,下周五,晚上6点,,,下周五,下午5点30分
用户:下周三全天外出调研; 你:周三下午6点到晚上8点，还有同学聚会，可能比较赶，外出调研要换个时间吗？; 用户:不用换时间，我可以先参加完调研再赶去聚会。; 你:提前一天晚上8点提醒你，好吗？; 用户:好的,`2025-06-28 15:01:18,日程,出行,外出调研,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,`2025-07-01 20:00:00,否,,,,下周三,全天,下周三,全天,提前一天,晚上8点
用户:周四晚上7点半家长会; 你:好的，持续多久啊？在哪儿开呀？; 用户:两小时，小区活动室; 你:行不？提前15分钟叫你啊！; 用户:提前半小时提醒，我怕堵车。,`2025-06-25 21:01:11,日程,会议,家长会,小区活动室,,是,0,`2025-06-26 19:30:00,`2025-06-26 21:30:00,`2025-06-26 19:00:00,否,,,,周四,晚上7点半,周四,晚上9点半,周四,晚上6点30分
