query_hist,current_time
用户:下午2点多参加评审会,2025-07-01 14:13:12
用户:2点多参加讨论会,2025-07-01 14:13:12
用户:下午2点多参加评审会,2025-07-01 15:13:12
用户:2点多参加讨论会,2025-07-01 15:13:12
用户:下午2点左右参加分享会,2025-07-02 14:13:12
用户:2点左右参加项目启动会,2025-07-02 14:13:12
用户:下午2点左右参加方案评审会,2025-07-02 15:13:12
用户:2点左右参加技术讨论会,2025-07-02 15:13:12
用户:下午2点左右参加分享会,2025-07-02 13:52:12
用户:2点左右参加项目启动会,2025-07-02 13:52:12
用户:晚上8点多参加评审会,2025-07-01 20:07:12
用户:8点多参加讨论会,2025-07-01 20:07:12
用户:晚上8点多参加评审会,2025-07-01 21:07:12
用户:8点多参加讨论会,2025-07-01 21:07:12
用户:晚上8左右多参加分享会,2025-07-02 20:07:12
用户:8点左右参加项目启动会,2025-07-02 20:07:12
用户:晚上8点左右参加方案评审会,2025-07-02 21:07:12
用户:8点左右参加技术讨论会,2025-07-02 21:07:12
用户:晚上8点左右参加方案评审会,2025-07-02 19:52:12
用户:8点左右参加技术讨论会,2025-07-02 19:52:12
用户:8点多定一个技术评审会,2025-07-04 20:07:12
用户:8点多定一个技术评审会,2025-07-04 20:13:12
用户:8点多定一个技术评审会,2025-07-04 20:25:12
用户:8点多定一个技术评审会,2025-07-04 20:35:12
用户:8点多定一个技术评审会,2025-07-04 20:44:12
用户:8点多定一个技术评审会,2025-07-04 20:48:12
用户:8点多定一个技术评审会,2025-07-04 20:55:12
用户:2分钟后提醒我给杨亮打电话,2025-07-08 23:52:18
用户:两分钟后提醒我给浩翔打个电话,2025-07-04 09:22:33
用户:五分钟后提醒我给浩翔打个电话,2025-07-04 09:22:33
用户:三十分钟后提醒我给浩翔打个电话,2025-07-04 09:22:33
用户:15分钟后提醒我给浩翔打个电话,2025-07-04 09:22:33
用户:半小时后提醒我给浩翔打个电话,2025-07-04 09:22:33
用户:一小时后提醒我给浩翔打个电话,2025-07-04 09:22:33
用户:3小时后提醒我给浩翔打个电话,2025-07-04 09:22:33
用户:星期天上午10点提醒我和龙江一起踢足球,2025-07-04 21:22:33
用户:本周日上午10点提醒我和龙江一起踢足球,2025-07-04 15:22:33
用户:下周日上午10点提醒我和龙江一起踢足球,2025-07-01 07:22:33
用户:明天上午10点去迪士尼,2025-07-04 08:32:12
用户:后天开评审会，帮我记一下,2025-07-04 12:46:28
用户:大后天我要开一个汇报会,2025-07-04 09:46:28
用户:10点多去公园,2025-07-04 09:22:12
用户:10点去公园,2025-07-04 09:45:12
用户:七点一刻去公园,2025-07-04 10:34:12
用户:周日下午3点去机场,2025-07-04 10:34:12
