query_hist,current_time,生成结果
明天下午3点要跟客户开视频会议,2025-06-27 13:58:28,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""跟客户开视频会议"",""place"":"""",""related_person"":""客户"",""start_date_chinese"":""明天"",""start_time_chinese"":""下午3点"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-28 15:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-27 13:58:28""}}"
后天早上记得提醒我交电费,2025-06-27 13:58:28,"{""result"":{""memory_type"":""待办"",""memory_subtype"":"""",""content"":""交电费"",""place"":"""",""related_person"":"""",""start_date_chinese"":""后天"",""start_time_chinese"":""早上"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":""后天"",""remind_time_chinese"":""早上"",""start_time_has_hour"":""否"",""start_time_not_right"":""1"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-27 13:58:28""}}"
周五晚上7点姐妹聚餐别忘了,2025-06-27 13:58:28,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""约见"",""content"":""姐妹聚餐"",""place"":"""",""related_person"":""姐妹"",""start_date_chinese"":""周五"",""start_time_chinese"":""晚上7点"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-27 19:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-27 13:58:28""}}"
下周二上午10点预约了牙医,2025-06-27 13:58:28,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""就医"",""content"":""预约了牙医"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周二"",""start_time_chinese"":""上午10点"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-01 10:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-27 13:58:28""}}"
记一下每周三晚上8点要上网课,2025-06-27 13:58:28,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""学习"",""content"":""上网课"",""place"":"""",""related_person"":"""",""start_date_chinese"":""每周三"",""start_time_chinese"":""晚上8点"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-27 20:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""是"",""repeat_freq"":""周"",""repeat_value"":""3"",""repeat_last_time"":"""",""current_time"":""2025-06-27 13:58:28""}}"
双十一提醒我买猫粮,2025-06-27 13:58:28,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""购物"",""content"":""买猫粮"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":"""",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":""双十一"",""remind_time_chinese"":"""",""start_time_has_hour"":""否"",""start_time_not_right"":""1"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-27 13:58:28""}}"
周六早上8点叫我起床跑步,2025-06-27 13:58:28,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""运动"",""content"":""叫我起床跑步"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周六"",""start_time_chinese"":""早上8点"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-28 08:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-27 13:58:28""}}"
下个月5号要交房租记得提醒我,2025-06-27 13:58:28,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""生活"",""content"":""交房租"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下个月5号"",""start_time_chinese"":"""",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":""下个月5号"",""remind_time_chinese"":"""",""start_time_has_hour"":""否"",""start_time_not_right"":""1"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-27 13:58:28""}}"
每周五下午4点要提交周报,2025-06-27 13:58:28,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""工作"",""content"":""提交周报"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":""下午4点"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-27 16:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""是"",""repeat_freq"":""周"",""repeat_value"":""5"",""repeat_last_time"":"""",""current_time"":""2025-06-27 13:58:28""}}"
元旦假期提醒我订回家的票,2025-06-27 13:58:28,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""出行"",""content"":""订回家的票"",""place"":"""",""related_person"":"""",""start_date_chinese"":""元旦假期"",""start_time_chinese"":"""",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":""元旦假期"",""remind_time_chinese"":"""",""start_time_has_hour"":""否"",""start_time_not_right"":""1"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-27 13:58:28""}}"
