query_hist,current_time,生成结果
用户:下午2点多参加评审会,2025-07-01 14:13:12,"{""result"":""{\n \""scene_id\"": 1,\n  \""memory_type\"": \""日程\"",\n  \""memory_subtype\"": \""会议\"",\n  \""content\"": \""参加评审会\"",\n  \""place\"": \""\"",\n  \""related_person\"": \""\"",\n  \""start_time_is_accurate\"": \""否\"",\n  \""start_time\"": \""20250701 14:00:00\"",\n  \""end_time\"": \""\"",\n  \""remind_time\"": \""\"",\n  \""is_need_end_time\"": \""否\"",\n  \""is_repeat_time\"": \""否\"",\n  \""repeat_freq\"": \""\"",\n  \""repeat_value\"": \""\"",\n  \""repeat_last_time\"": \""\""\n}""}"
用户:2点多参加讨论会,2025-07-01 14:13:12,"{""result"":""```json\n{  \""scene_id\"": 1,\n  \""memory_type\"": \""日程\"",\n  \""memory_subtype\"": \""会议\"",\n  \""content\"": \""参加讨论会\"",\n  \""place\"": \""\"",\n  \""related_person\"": \""\"",\n  \""start_time_is_accurate\"": \""是\"",\n  \""start_time\"": \""20250701 14:00:00\"",\n  \""end_time\"": \""\"",\n  \""remind_time\"": \""\"",\n  \""is_need_end_time\"": \""否\"",\n  \""is_repeat_time\"": \""否\"",\n  \""repeat_freq\"": \""\"",\n  \""repeat_value\"": \""\"",\n  \""repeat_last_time\"": \""\""\n}\n```""}"
用户:下午2点多参加评审会,2025-07-01 15:13:12,"{""result"":""{\n \""scene_id\"": 1,\n  \""memory_type\"": \""日程\"",\n  \""memory_subtype\"": \""会议\"",\n  \""content\"": \""参加评审会\"",\n  \""place\"": \""\"",\n  \""related_person\"": \""\"",\n  \""start_time_is_accurate\"": \""是\"",\n  \""start_time\"": \""20250701 14:00:00\"",\n  \""end_time\"": \""\"",\n  \""remind_time\"": \""\"",\n  \""is_need_end_time\"": \""否\"",\n  \""is_repeat_time\"": \""否\"",\n  \""repeat_freq\"": \""\"",\n  \""repeat_value\"": \""\"",\n  \""repeat_last_time\"": \""\""\n}""}"
用户:2点多参加讨论会,2025-07-01 15:13:12,"{""result"":""{\n \""scene_id\"": 1,\n  \""memory_type\"": \""日程\"",\n  \""memory_subtype\"": \""会议\"",\n  \""content\"": \""参加讨论会\"",\n  \""place\"": \""\"",\n  \""related_person\"": \""\"",\n  \""start_time_is_accurate\"": \""是\"",\n  \""start_time\"": \""20250701 14:00:00\"",\n  \""end_time\"": \""\"",\n  \""remind_time\"": \""\"",\n  \""is_need_end_time\"": \""否\"",\n  \""is_repeat_time\"": \""否\"",\n  \""repeat_freq\"": \""\"",\n  \""repeat_value\"": \""\"",\n  \""repeat_last_time\"": \""\""\n}""}"
用户:下午2点左右参加分享会,2025-07-02 14:13:12,"{""result"":""{\n \""scene_id\"": 1,\n  \""memory_type\"": \""日程\"",\n  \""memory_subtype\"": \""会议\"",\n  \""content\"": \""参加分享会\"",\n  \""place\"": \""\"",\n  \""related_person\"": \""\"",\n  \""start_time_is_accurate\"": \""否\"",\n  \""start_time\"": \""\"",\n  \""end_time\"": \""\"",\n  \""remind_time\"": \""\"",\n  \""is_need_end_time\"": \""是\"",\n  \""is_repeat_time\"": \""否\"",\n  \""repeat_freq\"": \""\"",\n  \""repeat_value\"": \""\"",\n  \""repeat_last_time\"": \""\""\n}""}"
用户:2点左右参加项目启动会,2025-07-02 14:13:12,"{""result"":""{\n \""scene_id\"": 1,\n  \""memory_type\"": \""日程\"",\n  \""memory_subtype\"": \""会议\"",\n  \""content\"": \""参加项目启动会\"",\n  \""place\"": \""\"",\n  \""related_person\"": \""\"",\n  \""start_time_is_accurate\"": \""是\"",\n  \""start_time\"": \""20250702 14:00:00\"",\n  \""end_time\"": \""\"",\n  \""remind_time\"": \""\"",\n  \""is_need_end_time\"": \""否\"",\n  \""is_repeat_time\"": \""否\"",\n  \""repeat_freq\"": \""\"",\n  \""repeat_value\"": \""\"",\n  \""repeat_last_time\"": \""\""\n}""}"
用户:下午2点左右参加方案评审会,2025-07-02 15:13:12,"{""result"":""```json\n{  \""scene_id\"": 1,\n  \""memory_type\"": \""日程\"",\n  \""memory_subtype\"": \""会议\"",\n  \""content\"": \""参加方案评审会\"",\n  \""place\"": \""\"",\n  \""related_person\"": \""\"",\n  \""start_time_is_accurate\"": \""否\"",\n  \""start_time\"": \""\"",\n  \""end_time\"": \""\"",\n  \""remind_time\"": \""\"",\n  \""is_need_end_time\"": \""是\"",\n  \""is_repeat_time\"": \""否\"",\n  \""repeat_freq\"": \""\"",\n  \""repeat_value\"": \""\"",\n  \""repeat_last_time\"": \""\""\n}\n```""}"
用户:2点左右参加技术讨论会,2025-07-02 15:13:12,"{""result"":""{\n \""scene_id\"": 1,\n  \""memory_type\"": \""日程\"",\n  \""memory_subtype\"": \""会议\"",\n  \""content\"": \""参加技术讨论会\"",\n  \""place\"": \""\"",\n  \""related_person\"": \""\"",\n  \""start_time_is_accurate\"": \""是\"",\n  \""start_time\"": \""20250702 14:00:00\"",\n  \""end_time\"": \""\"",\n  \""remind_time\"": \""\"",\n  \""is_need_end_time\"": \""否\"",\n  \""is_repeat_time\"": \""否\"",\n  \""repeat_freq\"": \""\"",\n  \""repeat_value\"": \""\"",\n  \""repeat_last_time\"": \""\""\n}""}"
用户:下午2点左右参加分享会,2025-07-02 13:52:12,"{""result"":""{\n \""scene_id\"": 1,\n  \""memory_type\"": \""日程\"",\n  \""memory_subtype\"": \""会议\"",\n  \""content\"": \""参加分享会\"",\n  \""place\"": \""\"",\n  \""related_person\"": \""\"",\n  \""start_time_is_accurate\"": \""是\"",\n  \""start_time\"": \""20250702 14:00:00\"",\n  \""end_time\"": \""\"",\n  \""remind_time\"": \""\"",\n  \""is_need_end_time\"": \""否\"",\n  \""is_repeat_time\"": \""否\"",\n  \""repeat_freq\"": \""\"",\n  \""repeat_value\"": \""\"",\n  \""repeat_last_time\"": \""\""\n}""}"
用户:2点左右参加项目启动会,2025-07-02 13:52:12,"{""result"":""{\n \""scene_id\"": 1,\n  \""memory_type\"": \""日程\"",\n  \""memory_subtype\"": \""会议\"",\n  \""content\"": \""参加项目启动会\"",\n  \""place\"": \""\"",\n  \""related_person\"": \""\"",\n  \""start_time_is_accurate\"": \""是\"",\n  \""start_time\"": \""20250702 14:00:00\"",\n  \""end_time\"": \""\"",\n  \""remind_time\"": \""\"",\n  \""is_need_end_time\"": \""否\"",\n  \""is_repeat_time\"": \""否\"",\n  \""repeat_freq\"": \""\"",\n  \""repeat_value\"": \""\"",\n  \""repeat_last_time\"": \""\""\n}""}"
