query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time_not_right,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time,start_date_chinese,start_time_chinese,end_date_chinese,end_time_chinese,remind_date_chinese,remind_time_chinese
明天下午3点要跟客户开视频会议,`2025-06-27 13:58:28,日程,会议,跟客户开视频会议,,客户,是,0,`2025-06-28 15:00:00,,,否,,,,明天,下午3点,,,,
后天早上记得提醒我交电费,`2025-06-27 13:58:28,待办,生活,交电费,,,否,1,,,,否,,,,后天,早上,,,后天,早上
周五晚上7点姐妹聚餐别忘了,`2025-06-27 13:58:28,日程,约见,姐妹聚餐,,姐妹,是,0,`2025-06-27 19:00:00,,,否,,,,周五,晚上7点,,,,
下周二上午10点预约了牙医,`2025-06-27 13:58:28,日程,就医,预约了牙医,,,是,0,`2025-07-01 10:00:00,,,否,,,,下周二,上午10点,,,,
记一下每周三晚上8点要上网课,`2025-06-27 13:58:28,日程,学习,上网课,,,是,0,`2025-07-02 20:00:00,,,是,周,3,,每周三,晚上8点,,,,
双十一提醒我买猫粮,`2025-06-27 13:58:28,待办,购物,买猫粮,,,否,1,,,,否,,,,,,,,双十一,
周六早上8点叫我起床跑步,`2025-06-27 13:58:28,待办,习惯,叫我起床跑步,,,是,0,`2025-06-28 08:00:00,,,否,,,,周六,早上8点,,,,
下个月5号要交房租记得提醒我,`2025-06-27 13:58:28,待办,生活,交房租,,,否,1,,,,否,,,,下个月5号,,,,下个月5号,
每周五下午4点要提交周报,`2025-06-27 13:58:28,待办,工作,提交周报,,,是,0,`2025-06-27 16:00:00,,,是,周,5,,每周五,下午4点,,,,
元旦假期提醒我订回家的票,`2025-06-27 13:58:28,待办,出行,订回家的票,,,否,1,,,,否,,,,元旦假期,,,,元旦假期,
中午12点约了王总在星巴克谈项目，记得提醒我,`2025-06-27 13:58:28,日程,约见,谈项目,星巴克,王总,是,0,`2025-06-28 12:00:00,,`2025-06-28 12:00:00,否,,,,,中午12点,,,,中午12点
周五晚上7点健身房私教课别忘了,`2025-06-27 13:58:28,日程,学习,健身房私教课,,,是,0,`2025-06-27 19:00:00,,,否,,,,周五,晚上7点,,,,
下周一早上9点部门例会，帮我加进日程,`2025-06-27 13:58:28,日程,会议,部门例会,,,是,0,`2025-06-30 09:00:00,,,否,,,,下周一,早上9点,,,,
这周六下午3点记得提醒我去接孩子放学,`2025-06-27 13:58:28,待办,家庭,去接孩子放学,,孩子,是,0,`2025-06-28 15:00:00,,`2025-06-28 15:00:00,否,,,,这周六,下午3点,,,这周六,下午3点
帮我记一下每个月5号还房贷,`2025-06-27 13:58:28,待办,生活,还房贷,,,否,1,,,,是,月,5,,每月5日,,,,,
周三2点半有个线上培训，别让我迟到,`2025-06-27 13:58:28,日程,学习,线上培训,,,是,0,`2025-07-02 02:30:00,,,否,,,,周三,2点半,,,,
双十一晚上8点提醒我抢购,`2025-06-27 13:58:28,待办,购物,抢购,,,是,0,`2025-06-27 20:00:00,,`2025-11-11 20:00:00,否,,,,,晚上8点,,,双十一,晚上8点
下个月15号是老婆生日，提前一天提醒我买礼物,`2025-06-27 13:58:28,待办,家庭,买礼物,,老婆,否,1,,,,否,,,,下个月15号,,,,下个月14号,
每周三晚上8点记得提醒我倒垃圾,`2025-06-27 13:58:28,待办,生活,倒垃圾,,,是,0,`2025-06-27 20:00:00,,`2025-06-27 20:00:00,是,周,3,,,晚上8点,,,每周三,晚上8点
医生约了这周四上午10点复查，帮我记着,`2025-06-27 13:58:28,日程,就医,复查,,医生,是,0,`2025-06-26 10:00:00,,,否,,,,这周四,上午10点,,,,
明天上午10点有个部门会议别忘了提醒我,`2025-06-27 13:58:28,日程,会议,部门会议,,,是,0,`2025-06-28 10:00:00,,`2025-06-28 10:00:00,否,,,,明天,上午10点,,,明天,上午10点
记得提醒我周五晚上7点要跟客户视频通话,`2025-06-27 13:58:28,待办,工作,跟客户视频通话,,客户,是,0,`2025-06-27 19:00:00,,`2025-06-27 19:00:00,否,,,,周五,晚上7点,,,周五,晚上7点
下周三早上9点记得叫我起床,`2025-06-27 13:58:28,待办,习惯,叫我起床,,,是,0,`2025-07-02 09:00:00,,`2025-07-02 09:00:00,否,,,,下周三,早上9点,,,下周三,早上9点
帮我记录下周六下午3点要去健身房,`2025-06-27 13:58:28,日程,运动,去健身房,,,是,0,`2025-07-05 15:00:00,,,否,,,,下周六,下午3点,,,,
双十一晚上8点有预售活动记得提醒我抢购,`2025-06-27 13:58:28,待办,购物,双十一晚上8点有预售活动,,,是,0,`2025-11-11 20:00:00,,`2025-11-11 20:00:00,否,,,,双十一,晚上8点,,,双十一,晚上8点
下个月5号是我妈生日要提前准备礼物,`2025-06-27 13:58:28,待办,家庭,我妈生日要提前准备礼物,,我妈,否,1,,,,否,,,,下个月5号,,,,,
每周二和周四晚上8点提醒我上网课,`2025-06-27 13:58:28,待办,学习,上网课,,,是,0,`2025-06-27 20:00:00,,`2025-06-27 20:00:00,是,周,"2,4",,,晚上8点,,,,晚上8点
每天早上7点半的闹钟别忘了设置,`2025-06-27 13:58:28,待办,健康,设置闹钟,,,是,0,`2025-06-28 07:30:00,,,是,日,1,,,早上7点半,,,,
帮我记着每个月15号还房贷,`2025-06-27 13:58:28,待办,健康,还房贷,,,否,1,,,,是,月,15,,每个月15号,,,,,
这周五中午12点和同事聚餐别迟到了,`2025-06-27 13:58:28,日程,约见,和同事聚餐,,同事,是,0,`2025-06-27 12:00:00,,,否,,,,这周五,中午12点,,,,
明天早上9点要交周报，记得提前半小时写完检查,`2025-06-27 13:58:28,待办,工作,交周报,,,是,0,`2025-06-28 09:00:00,,`2025-06-28 08:30:00,否,,,,明天,早上9点,,,明天,早上8点半
周三下午3点约了牙医洗牙，大概一小时,`2025-06-27 13:58:28,日程,就医,约了牙医洗牙,,牙医,是,0,`2025-07-02 15:00:00,`2025-07-02 16:00:00,,否,,,,周三,下午3点,周三,下午4点,,
这周六上午10点要去健身房上私教课,`2025-06-27 13:58:28,日程,运动,去健身房上私教课,,,是,0,`2025-06-28 10:00:00,,,否,,,,这周六,上午10点,,,,
下周一团队要聚餐，晚上7点在海底捞,`2025-06-27 13:58:28,日程,应酬,团队聚餐,海底捞,团队,是,0,`2025-06-30 19:00:00,,,否,,,,下周一,晚上7点,,,,
记得提醒我每天下午4点喝杯水休息下眼睛,`2025-06-27 13:58:28,待办,健康,喝杯水休息下眼睛,,,是,0,`2025-06-27 16:00:00,,`2025-06-27 16:00:00,是,日,1,,,下午4点,,,,
周五下班前要提交季度总结给领导,`2025-06-27 13:58:28,待办,工作,提交季度总结,,领导,否,1,,,,否,,,,周五,,,,,
周六下午2点带儿子去上钢琴课,`2025-06-27 13:58:28,日程,学习,带儿子去上钢琴课,,儿子,是,0,`2025-06-28 14:00:00,,,否,,,,周六,下午2点,,,,
下周三是老妈生日，晚上要视频通话,`2025-06-27 13:58:28,日程,家庭,视频通话,,老妈,否,1,,,,否,,,,下周三,,,,,
每个月10号记得还信用卡账单,`2025-06-27 13:58:28,待办,财务,还信用卡账单,,,否,1,,,,是,月,10,,,,,,,
周四上午11点有个客户要来公司拜访,`2025-06-27 13:58:28,日程,应酬,客户来公司拜访,,客户,是,0,`2025-07-03 11:00:00,,,否,,,,周四,上午11点,,,,
明天早上9点有个晨会别忘了,`2025-06-27 13:58:28,日程,会议,晨会,,,是,0,`2025-06-28 09:00:00,,,否,,,,明天,早上9点,,,,
后天记得提醒我买生日礼物,`2025-06-27 13:58:28,待办,,买生日礼物,,,否,1,,,,否,,,,后天,,,,后天,
下周三下午3点预约了牙医,`2025-06-27 13:58:28,日程,就医,预约了牙医,,,是,0,`2025-07-02 15:00:00,,,否,,,,下周三,下午3点,,,,
这周五晚上7点跟老张吃饭,`2025-06-27 13:58:28,日程,约见,跟老张吃饭,,老张,是,0,`2025-06-27 19:00:00,,,否,,,,这周五,晚上7点,,,,
帮我记下每个月5号还信用卡,`2025-06-27 13:58:28,待办,健康,还信用卡,,,否,1,,,,是,月,5,,,,,,,
下个月1号交房租别忘了,`2025-06-27 13:58:28,待办,生活,交房租,,,否,1,,,,否,,,,下个月1号,,,,下个月1号,
每天晚上8点提醒我健身,`2025-06-27 13:58:28,待办,运动,健身,,,是,0,`2025-06-27 20:00:00,,`2025-06-27 20:00:00,是,日,1,,,晚上8点,,,,晚上8点
