query_hist,current_time,生成结果
用户:今天2点要去看牙医; 你:2点到3点已经安排了健身课。看牙医要改个时间吗？; 用户:改成今天中午点吧; 你:好的，大概需要多久啊？; 用户:差不多一小时吧; 你:提前半小时提醒你，可以吗？; 用户:好的,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""就医"",""content"":""看牙医"",""place"":"""",""related_person"":"""",""start_date_chinese"":""今天"",""start_time_chinese"":""中午点"",""start_time_has_hour"":""否"",""start_time_not_right"":""1"",""start_time"":"""",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:明天9点有个读书会，记录一下; 你:明天9点到10点已经有健身计划了。读书会要换个时间吗？; 用户:改到明天9点。; 你:好嘞，提前15分钟叫你，行不？; 用户:ok,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""读书"",""content"":""读书会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""明天"",""start_time_chinese"":""9点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-25 09:00:00"",""end_time"":""2025-06-25 10:00:00"",""remind_time"":""2025-06-25 08:45:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:后天下午两点有个读书会要参加; 你:后天下午两点到四点已经安排运动了。读书会要换个时间吗？; 用户:改到后天14点; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前1小时叫你，成不？; 用户:ok,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""读书"",""content"":""读书会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""后天"",""start_time_chinese"":""下午两点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-26 14:00:00"",""end_time"":""2025-06-26 16:00:00"",""remind_time"":""2025-06-26 13:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:周一14点有个展会; 你:周一14点到15点已经约好医生体检了。参加展会要换个时间吗？; 用户:改到周一14点。; 你:什么时间提醒你？; 用户:提前半小时提醒我,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""展会"",""content"":""参加展会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周一"",""start_time_chinese"":""14点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-30 14:00:00"",""end_time"":""2025-06-30 15:00:00"",""remind_time"":""2025-06-30 13:30:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:周二晚上8点有个展会要参加; 你:好的，什么时间提醒你？; 用户:提前1小时提醒我,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""展会"",""content"":""有个展会要参加"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周二"",""start_time_chinese"":""晚上8点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-24 20:00:00"",""end_time"":"""",""remind_time"":""2025-06-24 19:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:周三8点要去开项目会议; 你:好的，什么时间提醒你？; 用户:提前15分钟提醒我,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""要去开项目会议"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周三"",""start_time_chinese"":""8点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-25 08:00:00"",""end_time"":"""",""remind_time"":""2025-06-25 07:45:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:周四晚上8点要去健身；你:周四晚上8点到9点已经有读书会了。健身要换个时间吗？；用户:改到周四20点。；你:好的，会持续多久啊？；用户:大概1小时吧。；你:什么时间提醒你？；用户:提前1小时提醒我,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""运动"",""content"":""健身"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周四"",""start_time_chinese"":""20点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-26 20:00:00"",""end_time"":""2025-06-26 21:00:00"",""remind_time"":""2025-06-26 19:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:这周五中午12点有个健身课; 你:周五12点到13点已经安排家庭聚餐了。健身课要换个时间吗？; 用户:改到周五12点。; 你:什么时间提醒你？; 用户:提前15分钟提醒我,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""运动"",""content"":""健身课"",""place"":"""",""related_person"":"""",""start_date_chinese"":""这周五"",""start_time_chinese"":""中午12点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-27 12:00:00"",""end_time"":""2025-06-27 13:00:00"",""remind_time"":""2025-06-27 11:45:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:周六早上8点有个应酬，记录一下; 你:周六早上8点到9点已经有健身安排。这个应酬要换个时间吗？; 用户:不用换; 你:好嘞，提前3小时叫你，行不？; 用户:ok,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""应酬"",""content"":""周六早上8点有个应酬"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周六"",""start_time_chinese"":""早上8点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-28 08:00:00"",""end_time"":""2025-06-28 09:00:00"",""remind_time"":""2025-06-28 05:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
用户:周日晚上6点有个应酬，帮我记一下; 你:周日6点到7点已经有健身计划了。应酬要换个时间吗？; 用户:改到周日18点。; 你:好的，大概要多久啊？; 用户:大概2小时吧。; 你:提前3小时提醒你，可以吗？; 用户:行,2025-06-24 03:32:18,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""应酬"",""content"":""周日晚上应酬"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周日"",""start_time_chinese"":""18点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-29 18:00:00"",""end_time"":""2025-06-29 20:00:00"",""remind_time"":""2025-06-29 15:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 03:32:18""}}"
