query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time_not_accurate,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time
帮我记一下我的停车位是A329,`2025-07-03 10:00:00,备忘,停车位,我的停车位是A329,,,否,,,,,否,,,
记下这句诗：欲买桂花同载酒，终不似，少年游,`2025-07-04 20:00:00,备忘,笔记,欲买桂花同载酒，终不似，少年游,,,否,,,,,否,,,
我有个灵感，帮我记一下：构造对话系统,`2025-06-26 09:30:00,备忘,灵感,我有个灵感：构造对话系统,,,否,,,,,否,,,
帮我记下张经理的电话：13800138000,`2025-06-30 08:00:00,备忘,通讯录,张经理的电话：13800138000,,张经理,否,,,,,否,,,
记下我的身份证号：371246048496959559,`2025-07-04 08:00:00,备忘,信息,我的身份证号：371246048496959559,,,否,,,,,否,,,
帮我记一个网址：www.example.com,`2025-07-04 16:00:00,备忘,信息,网址：www.example.com,,,否,,,,,否,,,
记下这句话：机会总是留给有准备的人,`2025-06-26 11:00:00,备忘,笔记,机会总是留给有准备的人,,,否,,,,,否,,,
帮我记下今天的体重：68.5kg,`2025-06-28 08:00:00,备忘,健康,今天的体重：68.5kg,,,否,,,,,否,,,
记下这个创意：可折叠的笔记本电脑,`2025-07-02 08:00:00,备忘,灵感,创意：可折叠的笔记本电脑,,,否,,,,,否,,,
帮我记一下这个邮寄地址：广达路12号5单元,`2025-07-02 08:00:00,备忘,信息,邮寄地址：广达路12号5单元,,,否,,,,,否,,,
记下这个密码：Abcd1234,`2025-06-28 10:00:00,备忘,信息,密码：Abcd1234,,,否,,,,,否,,,
帮我记下这个产品编号：XZ-2023-001,`2025-07-04 08:00:00,备忘,信息,产品编号：XZ-2023-001,,,否,,,,,否,,,
记下这个会议纪要：5号完成最终方案,`2025-06-30 08:30:00,备忘,会议,会议纪要：5号完成最终方案,,,否,,,,,否,,,
帮我记下这个快递单号：SF123456789,`2025-07-01 15:00:00,备忘,信息,快递单号：SF123456789,,,否,,,,,否,,,
记下这个银行账号：6225888888888888,`2025-06-25 19:00:00,备忘,信息,银行账号：6225888888888888,,,否,,,,,否,,,
帮我记下这个餐厅：学五餐厅,`2025-07-02 09:00:00,备忘,美食,餐厅：学五餐厅,,,否,,,,,否,,,
记下这个书籍推荐：《原则》,`2025-07-03 08:00:00,备忘,笔记,书籍推荐：《原则》,,,否,,,,,否,,,
帮我记下这个电影名称：《肖申克的救赎》,`2025-06-30 09:30:00,备忘,笔记,电影名称：《肖申克的救赎》,,,否,,,,,否,,,
记下这个购物清单：饺子、苹果,`2025-06-30 15:00:00,备忘,购物,购物清单：饺子、苹果,,,否,,,,,否,,,
帮我记下这个生日：妈妈生日是5月20日,`2025-07-01 16:00:00,备忘,家庭,妈妈生日是5月20日,,妈妈,否,,,,,否,,,
保存这句话：用户需求是产品核心驱动力,`2025-06-27 19:00:00,备忘,笔记,用户需求是产品核心驱动力,,,否,,,,,否,,,
存个备忘，张总电话改成13800001111,`2025-07-05 08:00:00,备忘,通讯录,张总电话改成13800001111,,,否,,,,,否,,,
帮我记下客户偏好简约风格设计,`2025-07-03 20:00:00,备忘,工作,客户偏好简约风格设计,,,否,,,,,否,,,
记录快递单号SF123456789CX,`2025-06-30 15:00:00,备忘,信息,快递单号SF123456789CX,,,否,,,,,否,,,
这句话存到备忘录：供应链韧性决定企业抗风险能力,`2025-06-26 15:00:00,备忘,信息,供应链韧性决定企业抗风险能力,,,否,,,,,否,,,
记下新员工培训密码是Train2023!,`2025-07-03 08:00:00,备忘,信息,新员工培训密码是Train2023!,,,否,,,,,否,,,
保存这个地址：杭州市余杭区文一西路969号,`2025-07-06 08:00:00,备忘,信息,地址：杭州市余杭区文一西路969号,,,否,,,,,否,,,
存下重要结论：用户留存率提升关键在于场景化运营,`2025-07-01 08:00:00,备忘,工作,重要结论：用户留存率提升关键在于场景化运营,,,否,,,,,否,,,
记录婆婆对芒果过敏，买菜要注意,`2025-06-26 14:00:00,备忘,健康,婆婆对芒果过敏，买菜要注意,,婆婆,否,,,,,否,,,
存个档，客户反馈说UI需要增加对比度,`2025-06-29 06:00:00,备忘,工作,客户反馈说UI需要增加对比度,,,否,,,,,否,,,
记下这句诗：青山遮不住，毕竟东流去,`2025-06-28 09:00:00,备忘,笔记,诗：青山遮不住，毕竟东流去,,,否,,,,,否,,,
保存会议结论：项目二期预算追加15%,`2025-07-02 10:00:00,备忘,会议,会议结论：项目二期预算追加15%,,,否,,,,,否,,,
帮我存下体检报告编号是TJ20231209008,`2025-07-02 08:00:00,备忘,健康,体检报告编号是TJ20231209008,,,否,,,,,否,,,
写个备忘，下周要给打印机换墨盒,`2025-06-26 12:00:00,备忘,工作,给打印机换墨盒,,,否,,,,,否,,,
记录孩子班主任的联系方式变更：123455555,`2025-06-28 15:00:00,备忘,通讯录,孩子班主任的联系方式变更：123455555,,,否,,,,,否,,,
存下这个公式：E=MC的相关资料在E5目录,`2025-06-27 17:00:00,备忘,知识,公式：E=MC的相关资料在E5目录,,,否,,,,,否,,,
记下来，新租户物业费每平涨了5毛,`2025-06-25 14:00:00,备忘,信息,新租户物业费每平涨了5毛,,,否,,,,,否,,,
保存签证申请编号：VISA-UK-87654321,`2025-06-28 09:30:00,备忘,信息,签证申请编号：VISA-UK-87654321,,,否,,,,,否,,,
存个文本：马斯洛需求层次理论第四层是尊重需求,`2025-07-02 20:00:00,备忘,笔记,马斯洛需求层次理论第四层是尊重需求,,,否,,,,,否,,,
