query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time
用户:下午2点多参加评审会,`2025-07-01 14:13:12,日程,会议,参加评审会,,,否,,,,否,,,
用户:2点多参加讨论会,`2025-07-01 14:13:12,日程,会议,参加讨论会,,,是,`2025-07-01 14:00:00,,,否,,,
用户:下午2点多参加评审会,`2025-07-01 15:13:12,日程,会议,参加评审会,,,是,`2025-07-01 14:00:00,,,否,,,
用户:2点多参加讨论会,`2025-07-01 15:13:12,日程,会议,参加讨论会,,,是,`2025-07-01 14:00:00,,,否,,,
用户:下午2点左右参加分享会,`2025-07-02 14:13:12,日程,会议,参加分享会,,,否,,,,否,,,
用户:2点左右参加项目启动会,`2025-07-02 14:13:12,日程,会议,参加项目启动会,,,是,`2025-07-02 14:00:00,,,否,,,
用户:下午2点左右参加方案评审会,`2025-07-02 15:13:12,日程,会议,参加方案评审会,,,否,,,,否,,,
用户:2点左右参加技术讨论会,`2025-07-02 15:13:12,日程,会议,参加技术讨论会,,,是,`2025-07-02 14:00:00,,,否,,,
用户:下午2点左右参加分享会,`2025-07-02 13:52:12,日程,会议,参加分享会,,,是,`2025-07-02 14:00:00,,,否,,,
用户:2点左右参加项目启动会,`2025-07-02 13:52:12,日程,会议,参加项目启动会,,,是,`2025-07-02 14:00:00,,,否,,,
用户:晚上8点多参加评审会,`2025-07-01 20:07:12,日程,会议,参加评审会,,,是,`2025-07-01 20:00:00,,,否,,,
用户:8点多参加讨论会,`2025-07-01 20:07:12,日程,会议,参加讨论会,,,是,`2025-07-01 08:00:00,,,否,,,
用户:晚上8点多参加评审会,`2025-07-01 21:07:12,日程,会议,参加评审会,,,是,`2025-07-01 20:00:00,,,否,,,
用户:8点多参加讨论会,`2025-07-01 21:07:12,日程,会议,参加讨论会,,,是,`2025-07-01 08:00:00,,,否,,,
用户:晚上8左右多参加分享会,`2025-07-02 20:07:12,日程,会议,参加分享会,,,否,,,,否,,,
用户:8点左右参加项目启动会,`2025-07-02 20:07:12,日程,会议,参加项目启动会,,,是,`2025-07-02 20:00:00,,,否,,,
用户:晚上8点左右参加方案评审会,`2025-07-02 21:07:12,日程,会议,参加方案评审会,,,是,`2025-07-02 20:00:00,,,否,,,
用户:8点左右参加技术讨论会,`2025-07-02 21:07:12,日程,会议,参加技术讨论会,,,是,`2025-07-02 08:00:00,,,否,,,
用户:晚上8点左右参加方案评审会,`2025-07-02 19:52:12,日程,会议,参加方案评审会,,,是,`2025-07-02 20:00:00,,,否,,,
用户:8点左右参加技术讨论会,`2025-07-02 19:52:12,日程,会议,参加技术讨论会,,,是,`2025-07-02 20:00:00,,,否,,,
用户:8点多定一个技术评审会,`2025-07-04 20:07:12,日程,会议,技术评审会,,,是,`2025-07-05 08:00:00,,,否,,,
用户:8点多定一个技术评审会,`2025-07-04 20:13:12,日程,会议,技术评审会,,,是,`2025-07-05 08:00:00,,,否,,,
用户:8点多定一个技术评审会,`2025-07-04 20:25:12,日程,会议,技术评审会,,,是,`2025-07-05 08:00:00,,,否,,,
用户:8点多定一个技术评审会,`2025-07-04 20:35:12,日程,会议,技术评审会,,,是,`2025-07-05 08:00:00,,,否,,,
用户:8点多定一个技术评审会,`2025-07-04 20:44:12,日程,会议,技术评审会,,,是,`2025-07-05 08:00:00,,,否,,,
用户:8点多定一个技术评审会,`2025-07-04 20:48:12,日程,会议,技术评审会,,,是,`2025-07-04 08:00:00,,,否,,,
用户:8点多定一个技术评审会,`2025-07-04 20:55:12,日程,会议,技术评审会,,,是,`2025-07-04 08:00:00,,,否,,,
用户:两分钟后提醒我给浩翔打个电话,`2025-07-04 09:22:33,待办,通讯,给浩翔打电话,,浩翔,是,`2025-07-04 09:24:33,,`2025-07-04 09:24:33,否,,,
用户:五分钟后提醒我给浩翔打个电话,`2025-07-04 09:22:33,待办,通讯,给浩翔打电话,,浩翔,是,`2025-07-04 09:27:33,,`2025-07-04 09:27:33,否,,,
用户:三十分钟后提醒我给浩翔打个电话,`2025-07-04 09:22:33,待办,通讯,给浩翔打电话,,浩翔,是,`2025-07-04 09:52:33,,`2025-07-04 09:52:33,否,,,
用户:15分钟后提醒我给浩翔打个电话,`2025-07-04 09:22:33,待办,通讯,给浩翔打电话,,浩翔,是,`2025-07-04 09:37:33,,`2025-07-04 09:37:33,否,,,
用户:半小时后提醒我给浩翔打个电话,`2025-07-04 09:22:33,待办,通讯,给浩翔打电话,,浩翔,是,`2025-07-04 09:52:33,,`2025-07-04 09:52:33,否,,,
用户:一小时后提醒我给浩翔打个电话,`2025-07-04 09:22:33,待办,通讯,给浩翔打电话,,浩翔,是,`2025-07-04 10:22:33,,`2025-07-04 10:22:33,否,,,
用户:3小时后提醒我给浩翔打个电话,`2025-07-04 09:22:33,待办,通讯,给浩翔打电话,,浩翔,是,`2025-07-04 12:22:33,,`2025-07-04 12:22:33,否,,,
用户:周日上午10点提醒我和龙江一起踢足球,`2025-07-04 21:22:33,待办,运动,提醒我和龙江一起踢足球,,龙江,是,`2025-07-06 10:00:00,,`2025-07-06 10:00:00,是,周,7,
用户:下周日上午10点提醒我和龙江一起踢足球,`2025-07-04 15:22:33,待办,运动,提醒我和龙江一起踢足球,,龙江,是,`2025-07-06 10:00:00,,`2025-07-06 10:00:00,否,,,
用户:下周日上午10点提醒我和龙江一起踢足球,`2025-07-01 07:22:33,待办,运动,提醒我和龙江一起踢足球,,龙江,是,`2025-07-06 10:00:00,,`2025-07-06 10:00:00,否,,,
用户:明天上午10点去迪士尼,`2025-07-04 08:32:12,日程,出行,去迪士尼,迪士尼,,是,`2025-07-05 10:00:00,,,否,,,
用户:后天开评审会，帮我记一下,`2025-07-04 12:46:28,日程,会议,开评审会,,,否,,,,否,,,
用户:大后天我要开一个汇报会,`2025-07-04 09:46:28,日程,会议,开汇报会,,,否,,,,否,,,
用户:10点多去公园,`2025-07-04 09:22:12,日程,出行,去公园,公园,,是,`2025-07-04 10:00:00,,,否,,,
用户:10点去公园,`2025-07-04 09:45:12,日程,出行,去公园,公园,,是,`2025-07-04 10:00:00,,,否,,,
