query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time_not_right,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time
下周四上午10点产检,`2025-06-24 00:04:07,日程,就医,产检,,,是,0,`2025-07-03 10:00:00,,,否,,,
下周五晚上8点音乐会,`2025-06-24 00:09:34,日程,活动,音乐会,,,是,0,`2025-07-04 20:00:00,,,否,,,
周四上午9点半预算调整协调会,`2025-06-24 01:02:34,日程,会议,预算调整协调会,,,是,0,`2025-06-26 09:30:00,,,否,,,
下周一全天要去广州参观工厂,`2025-06-24 01:03:14,日程,出行,要去广州参观工厂,广州,,是,0,`2025-06-30 08:00:00,`2025-06-30 20:00:00,,否,,,
下周五全天出差南京,`2025-06-24 01:05:54,日程,差旅,出差南京,南京,,是,0,`2025-07-04 08:00:00,`2025-07-04 20:00:00,,否,,,
下周五下午四点健身私教课,`2025-06-24 01:07:04,日程,运动,健身私教课,,,是,0,`2025-07-04 16:00:00,,,否,,,
后天上午十一点展会参展筹备工作会,`2025-06-24 01:20:32,日程,会议,展会参展筹备工作会,,,是,0,`2025-06-26 11:00:00,,,否,,,
周六全天带孩子去动物园,`2025-06-24 01:24:38,日程,出行,带孩子去动物园,动物园,孩子,是,0,`2025-06-28 08:00:00,`2025-06-28 20:00:00,,否,,,
下周三全天技术难题攻关协调会议,`2025-06-24 01:33:21,日程,会议,技术难题攻关协调会议,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
周六上午10点健身，到时提醒一下,`2025-06-24 02:30:35,待办,运动,健身,,,是,0,`2025-06-28 10:00:00,,`2025-06-28 10:00:00,否,,,
本月31号设计网页界面原型,`2025-06-24 02:34:22,待办,工作,设计网页界面原型,,,否,0,,,,否,,,
下周五全天开发新的业务渠道,`2025-06-24 02:51:29,日程,工作,开发新的业务渠道,,,是,0,`2025-07-04 08:00:00,`2025-07-04 20:00:00,,否,,,
下周一上午8:30竞品分析与应对策略会,`2025-06-24 02:51:36,日程,会议,竞品分析与应对策略会,,,是,0,`2025-06-30 08:30:00,,,否,,,
帮我记下下周二下午3点市场策略分析会,`2025-06-24 02:58:17,日程,会议,市场策略分析会,,,是,0,`2025-07-01 15:00:00,,,否,,,
明天晚上7点线上英语课,`2025-06-24 03:05:18,日程,学习,线上英语课,,,是,0,`2025-06-25 19:00:00,,,否,,,
下周三早上九点体检,`2025-06-24 03:06:38,日程,就医,体检,,,是,0,`2025-07-02 09:00:00,,,否,,,
本月25号产品评估员工绩效考核结果评审会,`2025-06-24 04:33:39,日程,会议,产品评估员工绩效考核结果评审会,,,否,1,,,,否,,,
下周四全天安装调试新设备,`2025-06-24 05:23:42,日程,工作,安装调试新设备,,,是,0,`2025-07-03 08:00:00,`2025-07-03 20:00:00,,否,,,
下周一上午9:30-11:30质量问题整改会,`2025-06-24 05:33:21,日程,会议,质量问题整改会,,,是,0,`2025-06-30 09:30:00,`2025-06-30 11:30:00,,否,,,
下周一下午三点光明项目的签约仪式,`2025-06-24 06:33:43,日程,会议,光明项目的签约仪式,光明,,是,0,`2025-06-30 15:00:00,,,否,,,
下周二下午4点理发，到时提醒一下,`2025-06-24 06:49:12,日程,美容,理发,,,是,0,`2025-07-01 16:00:00,,`2025-07-01 16:00:00,否,,,
本月20号清理垃圾，到时提醒一下,`2025-06-24 07:25:20,待办,生活,清理垃圾,,,否,1,,,,否,,,
周五晚上七点团建,`2025-06-24 07:42:47,日程,活动,团建,,,是,0,`2025-06-27 19:00:00,,,否,,,
下周六全天婚礼彩排,`2025-06-24 08:15:48,日程,婚礼,婚礼彩排,,,是,0,`2025-07-05 08:00:00,`2025-07-05 20:00:00,,否,,,
下周四晚上8点线上拍卖,`2025-06-24 08:22:06,日程,会议,线上拍卖,,,是,0,`2025-07-03 20:00:00,,,否,,,
本月31号下午三点客户满意度提升方案会,`2025-06-24 08:33:55,日程,会议,客户满意度提升方案会,,,是,0,`2025-06-30 15:00:00,,,否,,,
后天下午三点优化库存管理系统,`2025-06-24 08:47:24,日程,工作,优化库存管理系统,,,是,0,`2025-06-26 15:00:00,,,否,,,
下周四全天安全生产应急演练总结会,`2025-06-24 09:31:04,日程,会议,安全生产应急演练总结会,,,是,0,`2025-07-03 08:00:00,`2025-07-03 20:00:00,,否,,,
下周日全天参加亲子活动,`2025-06-24 10:07:03,日程,活动,参加亲子活动,,,是,0,`2025-07-06 08:00:00,`2025-07-06 20:00:00,,否,,,
帮我记下下个月1号还信用卡，到时提醒一下,`2025-06-24 10:23:45,待办,财务,还信用卡,,,否,1,,,,否,,,
下周二全天审核采购合同条款,`2025-06-24 10:37:35,日程,工作,审核采购合同条款,,,是,0,`2025-07-01 08:00:00,`2025-07-01 20:00:00,,否,,,
后天下午两点整理客户资料,`2025-06-24 10:43:44,待办,资料,整理客户资料,,,是,0,`2025-06-26 14:00:00,,,否,,,
本月30号分析季度销售数据的会,`2025-06-24 10:57:58,日程,会议,分析季度销售数据的会,,,否,1,,,,否,,,
周日早上6点登山徒步，到时提醒我一下,`2025-06-24 11:02:15,待办,运动,周日早上6点登山徒步,,,是,0,`2025-06-29 06:00:00,,`2025-06-29 06:00:00,否,,,
周六上午9点带小孩上钢琴课,`2025-06-24 11:05:57,日程,教育,带小孩上钢琴课,,,是,0,`2025-06-28 09:00:00,,,否,,,
本月最后一个周五应急预案演练总结会,`2025-06-24 11:11:39,日程,会议,应急预案演练总结会,,,否,1,,,,否,,,
下周三上午10点技术难题攻坚专题会,`2025-06-24 11:44:06,日程,会议,技术难题攻坚专题会,,,是,0,`2025-07-02 10:00:00,,,否,,,
下周三全天更新项目进度,`2025-06-24 11:56:03,日程,工作,更新项目进度,,,是,0,`2025-07-02 08:00:00,`2025-07-02 20:00:00,,否,,,
后天中午十二点商务晚餐,`2025-06-24 12:09:08,日程,约见,商务晚餐,,,是,0,`2025-06-26 12:00:00,,,否,,,
周六下午3点选购护肤用品，到时提醒我一下,`2025-06-24 13:22:22,待办,购物,选购护肤用品,,,是,0,`2025-06-28 15:00:00,,`2025-06-28 15:00:00,否,,,
周五下午5点健身操训练，提醒我一下,`2025-06-24 13:54:44,待办,运动,健身操训练,,,是,0,`2025-06-27 17:00:00,,`2025-06-27 17:00:00,否,,,
