query_hist,current_time,生成结果
用户:下午2点多参加评审会,2025-07-01 14:13:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""参加评审会"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":""下午2点多"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-01 14:30:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-07-01 14:13:12""}}"
用户:2点多参加讨论会,2025-07-01 14:13:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""参加讨论会"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":""2点多"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-01 14:30:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-07-01 14:13:12""}}"
用户:下午2点多参加评审会,2025-07-01 15:13:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""参加评审会"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":""下午2点多"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 14:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-07-01 15:13:12"",""is_stop"":true,""reply_content"":""明天下午两点，行不？""}}"
用户:2点多参加讨论会,2025-07-01 15:13:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""参加讨论会"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":""2点多"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 02:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-07-01 15:13:12"",""is_stop"":true,""reply_content"":""明天早上两点，行不？""}}"
用户:下午2点左右参加分享会,2025-07-02 14:13:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""参加分享会"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":""下午2点左右"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 14:30:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-07-02 14:13:12""}}"
用户:2点左右参加项目启动会,2025-07-02 14:13:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""参加项目启动会"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":""2点左右"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 14:30:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-07-02 14:13:12""}}"
用户:下午2点左右参加方案评审会,2025-07-02 15:13:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""参加方案评审会"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":""下午2点左右"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-03 14:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-07-02 15:13:12"",""is_stop"":true,""reply_content"":""明天下午两点，行不？""}}"
用户:2点左右参加技术讨论会,2025-07-02 15:13:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""参加技术讨论会"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":""2点左右"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-03 02:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-07-02 15:13:12"",""is_stop"":true,""reply_content"":""明天早上两点，行不？""}}"
用户:下午2点左右参加分享会,2025-07-02 13:52:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""参加分享会"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":""下午2点左右"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 14:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-07-02 13:52:12""}}"
用户:2点左右参加项目启动会,2025-07-02 13:52:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""参加项目启动会"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":""2点左右"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 14:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-07-02 13:52:12""}}"
用户:晚上8点多参加评审会,2025-07-01 20:07:12,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""参加评审会"",""place"":"""",""related_person"":"""",""start_date_chinese"":"""",""start_time_chinese"":""晚上8点多"",""end_date_chinese"":"""",""end_time_chinese"":"""",""remind_date_chinese"":"""",""remind_time_chinese"":"""",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-01 20:30:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-07-01 20:07:12""}}"
