query_hist,current_time,memory_type,memory_subtype,content,place,related_person,start_time_has_hour,start_time,end_time,remind_time,is_repeat_time,repeat_freq,repeat_value,repeat_last_time
用户:今天2点要去看牙医; 你:2点到3点已经安排了健身课。看牙医要改个时间吗？; 用户:改成今天中午12点吧; 你:好的，大概需要多久啊？; 用户:差不多一小时吧; 你:提前半小时提醒你，可以吗？; 用户:好的,`2025-06-24 03:32:18,日程,就医,去看牙医,,,是,`2025-06-24 12:00:00,`2025-06-24 13:00:00,`2025-06-24 11:30:00,否,,,
用户:明天9点有个读书会，记录一下; 你:明天9点到10点已经有健身计划了。读书会要换个时间吗？; 用户:改到明天9点。; 你:好嘞，提前15分钟叫你，行不？; 用户:ok,`2025-06-24 03:32:18,日程,读书,读书会,,,是,`2025-06-25 09:00:00,,`2025-06-25 08:45:00,否,,,
用户:后天下午两点有个读书会要参加; 你:后天下午两点到四点已经安排运动了。读书会要换个时间吗？; 用户:改到后天14点; 你:好的，会持续多久啊？; 用户:大概2小时吧; 你:提前1小时叫你，成不？; 用户:ok,`2025-06-24 03:32:18,日程,读书,参加读书会,,,是,`2025-06-26 14:00:00,`2025-06-26 16:00:00,`2025-06-26 13:00:00,否,,,
用户:周一13点有个展会; 你:周一13点到14点已经约好医生体检了。参加展会要换个时间吗？; 用户:改到周一14点。; 你:什么时间提醒你？; 用户:提前半小时提醒我,`2025-06-24 03:32:18,日程,展会,展会,,,是,`2025-06-30 14:00:00,,`2025-06-30 13:30:00,否,,,
用户:周二晚上8点有个展会要参加; 你:好的，什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-24 03:32:18,日程,展会,参加展会,,,是,`2025-06-24 20:00:00,,`2025-06-24 19:00:00,否,,,
用户:周三8点要去开项目会议; 你:好的，什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-24 03:32:18,日程,会议,去开项目会议,,,是,`2025-06-25 08:00:00,,`2025-06-25 07:45:00,否,,,
用户:周四8点要去健身; 你:周四8点到9点已经有读书会了。健身要换个时间吗？; 用户:改到周四20点。; 你:好的，会持续多久啊？; 用户:大概1小时吧。；你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-24 03:32:18,日程,运动,健身,,,是,`2025-06-26 20:00:00,`2025-06-26 21:00:00,`2025-06-26 19:00:00,否,,,
用户:这周五10点有个健身课; 你:周五10点到11点已经安排家庭聚餐了。健身课要换个时间吗？; 用户:改到周五12点。; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-24 03:32:18,日程,学习,健身课,,,是,`2025-06-27 12:00:00,,`2025-06-27 11:45:00,否,,,
用户:周六早上8点有个应酬，记录一下; 你:周六早上8点到9点已经有健身安排。这个应酬要换个时间吗？; 用户:不用换; 你:好嘞，提前3小时叫你，行不？; 用户:ok,`2025-06-24 03:32:18,日程,应酬,应酬,,,是,`2025-06-28 08:00:00,,`2025-06-28 05:00:00,否,,,
用户:周日6点有个应酬，帮我记一下; 你:周日6点到7点已经有健身计划了。应酬要换个时间吗？; 用户:改到周日18点。; 你:好的，大概要多久啊？; 用户:大概2小时吧。; 你:提前3小时提醒你，可以吗？; 用户:行,`2025-06-24 03:32:18,日程,应酬,应酬,,,是,`2025-06-29 18:00:00,`2025-06-29 20:00:00,`2025-06-29 15:00:00,否,,,
用户:周日晚上7点要去看演唱会; 你:周日晚上7点那会儿小张约了打球。演唱会要改个时间吗？; 用户:不用改; 你:什么时间提醒你？; 用户:提前15分钟提醒我,`2025-06-24 03:32:18,日程,娱乐,去看演唱会,,,是,`2025-06-29 19:00:00,,`2025-06-29 18:45:00,否,,,
用户:下周一9点有个展会，帮我记一下; 你:下周一9点到10点已经安排了医院体检。展会要换个时间吗？; 用户:改到下周一11点。; 你:好的，大概要持续多久啊？; 用户:大概1小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-24 03:32:18,日程,展会,展会,,,是,`2025-06-30 11:00:00,`2025-06-30 12:00:00,`2025-06-30 08:00:00,否,,,
用户:下周二下午3点有个展会，帮我记一下; 你:好的，什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-24 03:32:18,日程,展会,展会,,,是,`2025-07-01 15:00:00,,`2025-07-01 14:00:00,否,,,
用户:下周二晚上8点有个客户会议，帮我记一下; 你:下周二20点到21点时间段已经在健身了。这个会议要换个时间吗？; 用户:改到下周三20点。; 你:好的，这个会议大概要开多久啊？; 用户:大概2小时吧。; 你:提前15分钟提醒你可以吗？; 用户:好的,`2025-06-24 03:32:18,日程,会议,客户会议,,客户,是,`2025-07-02 20:00:00,`2025-07-02 22:00:00,`2025-07-02 19:45:00,否,,,
用户:下周二中午12点有个体检要记录一下; 你:下周二12点到下午1点已经有健身课了。体检要换个时间吗？; 用户:改到下周四12点。; 你:好的，会持续多久啊？; 用户:大概2小时吧。; 你:提前3小时叫你，成不？; 用户:ok,`2025-06-24 03:32:18,日程,健康,体检,,,是,`2025-07-03 12:00:00,`2025-07-03 14:00:00,`2025-07-03 09:00:00,否,,,
用户:下周四晚上8点有个工作会议，记录一下; 你:下周四20点到21点已经有项目复盘会了。工作会议要换个时间吗？; 用户:改到下周五20点吧; 你:好的，需要持续多久啊？; 用户:大概2小时吧; 你:提前2小时叫你，可以吗？; 用户:ok,`2025-06-24 03:32:18,日程,会议,工作会议,,,是,`2025-07-04 20:00:00,`2025-07-04 22:00:00,`2025-07-04 18:00:00,否,,,
用户:下周六下午4点有个客户会议，帮我记一下; 你:下周六下午4点到6点已经安排了健身计划。这个客户会议要改个时间吗？; 用户:改成下周六下午5点吧; 你:好的，会开多长时间啊？; 用户:大概2小时吧; 你:提前3小时提醒你可以吗？; 用户:行,`2025-06-24 03:32:18,日程,会议,客户会议,,客户,是,`2025-07-05 17:00:00,`2025-07-05 19:00:00,`2025-07-05 14:00:00,否,,,
用户:下周日14点有个读书会; 你:好的，会持续多久啊？; 用户:大概3小时吧。; 你:什么时间提醒你？; 用户:提前1小时提醒我,`2025-06-24 03:32:18,日程,读书,读书会,,,是,`2025-07-06 14:00:00,`2025-07-06 17:00:00,`2025-07-06 13:00:00,否,,,
