query_hist,current_time
明天下午3点要跟客户开视频会议,2025-06-27 13:58:28
后天早上记得提醒我交电费,2025-06-27 13:58:28
周五晚上7点姐妹聚餐别忘了,2025-06-27 13:58:28
下周二上午10点预约了牙医,2025-06-27 13:58:28
记一下每周三晚上8点要上网课,2025-06-27 13:58:28
双十一提醒我买猫粮,2025-06-27 13:58:28
周六早上8点叫我起床跑步,2025-06-27 13:58:28
下个月5号要交房租记得提醒我,2025-06-27 13:58:28
每周五下午4点要提交周报,2025-06-27 13:58:28
元旦假期提醒我订回家的票,2025-06-27 13:58:28
中午12点约了王总在星巴克谈项目，记得提醒我,2025-06-27 13:58:28
周五晚上7点健身房私教课别忘了,2025-06-27 13:58:28
下周一早上9点部门例会，帮我加进日程,2025-06-27 13:58:28
这周六下午3点记得提醒我去接孩子放学,2025-06-27 13:58:28
帮我记一下每个月5号还房贷,2025-06-27 13:58:28
周三2点半有个线上培训，别让我迟到,2025-06-27 13:58:28
双十一晚上8点提醒我抢购,2025-06-27 13:58:28
下个月15号是老婆生日，提前一天提醒我买礼物,2025-06-27 13:58:28
每周三晚上8点记得提醒我倒垃圾,2025-06-27 13:58:28
医生约了这周四上午10点复查，帮我记着,2025-06-27 13:58:28
明天上午10点有个部门会议别忘了提醒我,2025-06-27 13:58:28
记得提醒我周五晚上7点要跟客户视频通话,2025-06-27 13:58:28
下周三早上9点记得叫我起床,2025-06-27 13:58:28
帮我记录下周六下午3点要去健身房,2025-06-27 13:58:28
双十一晚上8点有预售活动记得提醒我抢购,2025-06-27 13:58:28
下个月5号是我妈生日要提前准备礼物,2025-06-27 13:58:28
每周二和周四晚上8点提醒我上网课,2025-06-27 13:58:28
每天早上7点半的闹钟别忘了设置,2025-06-27 13:58:28
帮我记着每个月15号还房贷,2025-06-27 13:58:28
这周五中午12点和同事聚餐别迟到了,2025-06-27 13:58:28
明天早上9点要交周报，记得提前半小时写完检查,2025-06-27 13:58:28
周三下午3点约了牙医洗牙，大概一小时,2025-06-27 13:58:28
这周六上午10点要去健身房上私教课,2025-06-27 13:58:28
下周一团队要聚餐，晚上7点在海底捞,2025-06-27 13:58:28
记得提醒我每天下午4点喝杯水休息下眼睛,2025-06-27 13:58:28
周五下班前要提交季度总结给领导,2025-06-27 13:58:28
周六下午2点带儿子去上钢琴课,2025-06-27 13:58:28
下周三是老妈生日，晚上要视频通话,2025-06-27 13:58:28
每个月10号记得还信用卡账单,2025-06-27 13:58:28
周四上午11点有个客户要来公司拜访,2025-06-27 13:58:28
明天早上9点有个晨会别忘了,2025-06-27 13:58:28
后天记得提醒我买生日礼物,2025-06-27 13:58:28
下周三下午3点预约了牙医,2025-06-27 13:58:28
这周五晚上7点跟老张吃饭,2025-06-27 13:58:28
帮我记下每个月5号还信用卡,2025-06-27 13:58:28
