query_hist,current_time,生成结果
下周四上午10点产检,2025-06-24 00:04:07,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""就医"",""content"":""产检"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周四"",""start_time_chinese"":""上午10点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-03 10:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 00:04:07""}}"
下周五晚上8点音乐会,2025-06-24 00:09:34,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""活动"",""content"":""音乐会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周五"",""start_time_chinese"":""晚上8点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-04 20:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 00:09:34""}}"
周四上午9点半预算调整协调会,2025-06-24 01:02:34,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""预算调整协调会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周四"",""start_time_chinese"":""上午9点半"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-26 09:30:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 01:02:34""}}"
下周一全天要去广州参观工厂,2025-06-24 01:03:14,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""出行"",""content"":""要去广州参观工厂"",""place"":""广州"",""related_person"":"""",""start_date_chinese"":""下周一"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-30 08:00:00"",""end_time"":""2025-06-30 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 01:03:14""}}"
下周五全天出差南京,2025-06-24 01:05:54,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""差旅"",""content"":""出差南京"",""place"":""南京"",""related_person"":"""",""start_date_chinese"":""下周五"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-04 08:00:00"",""end_time"":""2025-07-04 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 01:05:54""}}"
下周五下午四点健身私教课,2025-06-24 01:07:04,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""运动"",""content"":""健身私教课"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周五"",""start_time_chinese"":""下午四点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-04 16:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 01:07:04""}}"
后天上午十一点展会参展筹备工作会,2025-06-24 01:20:32,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""展会参展筹备工作会"",""place"":"""",""related_person"":"""",""start_date_chinese"":""后天"",""start_time_chinese"":""上午十一点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-26 11:00:00"",""end_time"":"""",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 01:20:32""}}"
周六全天带孩子去动物园,2025-06-24 01:24:38,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""出行"",""content"":""带孩子去动物园"",""place"":""动物园"",""related_person"":""孩子"",""start_date_chinese"":""周六"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-28 08:00:00"",""end_time"":""2025-06-28 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 01:24:38""}}"
下周三全天技术难题攻关协调会议,2025-06-24 01:33:21,"{""result"":{""memory_type"":""日程"",""memory_subtype"":""会议"",""content"":""技术难题攻关协调会议"",""place"":"""",""related_person"":"""",""start_date_chinese"":""下周三"",""start_time_chinese"":""全天"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-07-02 08:00:00"",""end_time"":""2025-07-02 20:00:00"",""remind_time"":"""",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 01:33:21""}}"
周六上午10点健身，到时提醒一下,2025-06-24 02:30:35,"{""result"":{""memory_type"":""待办"",""memory_subtype"":""运动"",""content"":""健身"",""place"":"""",""related_person"":"""",""start_date_chinese"":""周六"",""start_time_chinese"":""上午10点"",""start_time_has_hour"":""是"",""start_time_not_right"":""0"",""start_time"":""2025-06-28 10:00:00"",""end_time"":"""",""remind_time"":""2025-06-28 10:00:00"",""is_repeat_time"":""否"",""repeat_freq"":"""",""repeat_value"":"""",""repeat_last_time"":"""",""current_time"":""2025-06-24 02:30:35""}}"
